<DATE>,<CLOSE>
05.02.2020,255.2000000
06.02.2020,252.1100000
07.02.2020,254.3000000
10.02.2020,252.2600000
11.02.2020,254.5000000
12.02.2020,254.5000000
13.02.2020,253.8900000
14.02.2020,251.7500000
17.02.2020,251.3600000
18.02.2020,249.2000000
19.02.2020,249.7000000
20.02.2020,250.1500000
21.02.2020,250.8000000
25.02.2020,245.1900000
26.02.2020,250.8000000
27.02.2020,242.8800000
28.02.2020,233.3600000
02.03.2020,228.1700000
03.03.2020,236.6300000
04.03.2020,235.2700000
05.03.2020,232.3300000
06.03.2020,219.9900000
10.03.2020,201.2000000
11.03.2020,194.5300000
12.03.2020,175.9100000
13.03.2020,198.6000000
16.03.2020,195.8500000
17.03.2020,184.0100000
18.03.2020,174.2700000
19.03.2020,189.5100000
20.03.2020,195.6900000
23.03.2020,183.3700000
24.03.2020,192.6400000
25.03.2020,188.0800000
26.03.2020,188.0700000
27.03.2020,180.3800000
30.03.2020,183.0000000
31.03.2020,187.2100000
01.04.2020,184.7800000
02.04.2020,186.9500000
03.04.2020,185.6400000
06.04.2020,190.7000000
07.04.2020,197.6300000
08.04.2020,200.2900000
09.04.2020,203.6100000
10.04.2020,201.9900000
13.04.2020,198.2600000
14.04.2020,197.3700000
15.04.2020,186.0700000
16.04.2020,188.5000000
17.04.2020,191.8000000
20.04.2020,189.3200000
21.04.2020,186.0500000
22.04.2020,190.2000000
23.04.2020,190.9400000
24.04.2020,188.9100000
27.04.2020,188.9000000
28.04.2020,192.8000000
29.04.2020,195.8000000
30.04.2020,197.2500000
04.05.2020,193.6900000
05.05.2020,194.7500000
06.05.2020,195.7000000
07.05.2020,195.5100000
08.05.2020,196.0200000
12.05.2020,191.4000000
13.05.2020,187.3100000
14.05.2020,183.8100000
15.05.2020,183.8500000
18.05.2020,188.9300000
19.05.2020,189.0000000
20.05.2020,193.9800000
21.05.2020,192.4000000
22.05.2020,188.9000000
25.05.2020,191.0000000
26.05.2020,194.0000000
27.05.2020,198.5100000
28.05.2020,205.0000000
29.05.2020,200.5000000
01.06.2020,203.6600000
02.06.2020,212.0000000
03.06.2020,221.5000000
04.06.2020,213.1000000
05.06.2020,219.1000000
08.06.2020,220.3000000
09.06.2020,217.2300000
10.06.2020,212.5300000
11.06.2020,208.3500000
15.06.2020,207.3200000
16.06.2020,207.7600000
17.06.2020,208.1400000
