<DATE>,<CLOSE>
05.02.2020,3114.2500000
06.02.2020,3096.6800000
07.02.2020,3087.6300000
10.02.2020,3062.4100000
11.02.2020,3097.5800000
12.02.2020,3122.2700000
13.02.2020,3110.0500000
14.02.2020,3096.8800000
17.02.2020,3110.0600000
18.02.2020,3074.0500000
19.02.2020,3114.5700000
20.02.2020,3125.1000000
21.02.2020,3106.0300000
25.02.2020,3002.6800000
26.02.2020,3017.4200000
27.02.2020,2915.8400000
28.02.2020,2785.0800000
02.03.2020,2765.7700000
03.03.2020,2821.3700000
04.03.2020,2828.0100000
05.03.2020,2816.7000000
06.03.2020,2719.5100000
10.03.2020,2498.9400000
11.03.2020,2492.8800000
12.03.2020,2286.4000000
13.03.2020,2316.3800000
16.03.2020,2266.9000000
17.03.2020,2224.7400000
18.03.2020,2112.6400000
19.03.2020,2275.7000000
20.03.2020,2331.6100000
23.03.2020,2253.3500000
24.03.2020,2415.9700000
25.03.2020,2452.6900000
26.03.2020,2489.9700000
27.03.2020,2401.1100000
30.03.2020,2433.3500000
31.03.2020,2508.8100000
01.04.2020,2473.6100000
02.04.2020,2545.9500000
03.04.2020,2572.2300000
06.04.2020,2622.5900000
07.04.2020,2634.7400000
08.04.2020,2670.1200000
09.04.2020,2701.7700000
10.04.2020,2677.8600000
13.04.2020,2628.8500000
14.04.2020,2631.8300000
15.04.2020,2498.9400000
16.04.2020,2515.0500000
17.04.2020,2534.9700000
20.04.2020,2525.9700000
21.04.2020,2488.0200000
22.04.2020,2573.4100000
23.04.2020,2599.4100000
24.04.2020,2562.0300000
27.04.2020,2570.9100000
28.04.2020,2612.2400000
29.04.2020,2663.1400000
30.04.2020,2650.5600000
04.05.2020,2624.6400000
05.05.2020,2653.5100000
06.05.2020,2632.1000000
07.05.2020,2634.0000000
08.05.2020,2641.5500000
12.05.2020,2642.0400000
13.05.2020,2604.9800000
14.05.2020,2590.3100000
15.05.2020,2593.9100000
18.05.2020,2694.2500000
19.05.2020,2711.7200000
20.05.2020,2770.7900000
21.05.2020,2718.6700000
22.05.2020,2709.3800000
25.05.2020,2757.9300000
26.05.2020,2754.0400000
27.05.2020,2741.0200000
28.05.2020,2779.9800000
29.05.2020,2734.8300000
01.06.2020,2750.2400000
02.06.2020,2796.5100000
03.06.2020,2831.0800000
04.06.2020,2766.2600000
05.06.2020,2792.7400000
08.06.2020,2796.3000000
09.06.2020,2795.9000000
10.06.2020,2785.1800000
11.06.2020,2743.8000000
15.06.2020,2719.0600000
16.06.2020,2748.3000000
17.06.2020,2740.1000000
18.06.2020,2724.3300000
19.06.2020,2758.6700000
22.06.2020,2763.2900000
23.06.2020,2791.9700000
25.06.2020,2760.7500000
26.06.2020,2761.7400000
29.06.2020,2767.9500000
30.06.2020,2743.2000000
02.07.2020,2788.7900000
03.07.2020,2801.6600000
06.07.2020,2835.1800000
07.07.2020,2825.2100000
08.07.2020,2815.8300000
09.07.2020,2782.4300000
10.07.2020,2800.9400000
13.07.2020,2766.7900000
14.07.2020,2744.5400000
15.07.2020,2747.9100000
16.07.2020,2760.0100000
17.07.2020,2774.7900000
20.07.2020,2802.2400000
21.07.2020,2825.7100000
22.07.2020,2834.6500000
23.07.2020,2851.7900000
24.07.2020,2863.1200000
27.07.2020,2884.8800000
28.07.2020,2895.4500000
29.07.2020,2918.4200000
30.07.2020,2882.6300000
31.07.2020,2911.5700000
03.08.2020,2929.9700000
04.08.2020,2940.4600000
05.08.2020,2992.7800000
06.08.2020,2988.5000000
07.08.2020,2972.3500000
10.08.2020,2960.7800000
11.08.2020,3005.6300000
12.08.2020,3053.9900000
13.08.2020,3080.4400000
14.08.2020,3061.9900000
17.08.2020,3052.4600000
18.08.2020,3050.7000000
19.08.2020,3056.5400000
20.08.2020,2993.6900000
21.08.2020,2995.6100000
24.08.2020,3029.4200000
25.08.2020,3029.0500000
26.08.2020,3051.9700000
27.08.2020,3012.0100000
28.08.2020,2980.1700000
31.08.2020,2966.2000000
01.09.2020,2975.0000000
02.09.2020,2956.5000000
03.09.2020,2931.9200000
04.09.2020,2921.5500000
07.09.2020,2932.2900000
08.09.2020,2888.7900000
09.09.2020,2876.0700000
10.09.2020,2897.5500000
11.09.2020,2910.5100000
14.09.2020,2928.3800000
15.09.2020,2980.5800000
16.09.2020,2975.0100000
17.09.2020,2971.7400000
18.09.2020,2951.7900000
21.09.2020,2863.6700000
22.09.2020,2884.6600000
23.09.2020,2916.3900000
24.09.2020,2912.7600000
25.09.2020,2896.8300000
28.09.2020,2927.1700000
29.09.2020,2910.1200000
30.09.2020,2905.8100000
01.10.2020,2889.8000000
02.10.2020,2852.4200000
05.10.2020,2881.9800000
06.10.2020,2892.9900000
07.10.2020,2842.5800000
08.10.2020,2846.3900000
09.10.2020,2834.0900000
12.10.2020,2846.1400000
13.10.2020,2829.2300000
14.10.2020,2856.0800000
15.10.2020,2817.2900000
16.10.2020,2799.5400000
19.10.2020,2794.2700000
20.10.2020,2803.0600000
21.10.2020,2786.2300000
22.10.2020,2803.1700000
23.10.2020,2816.7000000
26.10.2020,2785.5900000
27.10.2020,2763.0300000
28.10.2020,2693.4600000
29.10.2020,2709.0400000
30.10.2020,2690.5900000
02.11.2020,2737.5400000
03.11.2020,2786.4200000
05.11.2020,2861.3900000
06.11.2020,2895.6200000
09.11.2020,2987.7500000
10.11.2020,2998.6100000
11.11.2020,3015.0300000
12.11.2020,3025.8300000
13.11.2020,3025.2200000
16.11.2020,3079.7400000
17.11.2020,3052.2200000
18.11.2020,3080.6800000
19.11.2020,3046.4900000
20.11.2020,3051.0400000
23.11.2020,3047.0600000
24.11.2020,3095.8400000
25.11.2020,3134.5200000
26.11.2020,3138.6200000
27.11.2020,3142.6800000
30.11.2020,3107.5800000
01.12.2020,3147.7900000
02.12.2020,3189.6100000
03.12.2020,3162.6700000
04.12.2020,3184.7200000
07.12.2020,3195.0800000
08.12.2020,3179.6100000
09.12.2020,3211.6600000
10.12.2020,3258.3100000
11.12.2020,3276.5800000
14.12.2020,3254.8300000
15.12.2020,3248.1100000
16.12.2020,3269.9500000
17.12.2020,3282.6700000
18.12.2020,3273.7500000
21.12.2020,3186.3800000
