LKOH_date,LKOH_close,SP500_date,SP500_close,GOLD_date,GOLD_close,BRENT_date,BRENT_close,COPPER_date,COPPER_close,USD_EUR_date,USD_EUR_close,RUB_USD_date,RUB_USD_close,GAS_date,GAS_close
05.02.2019,5435.0000000,05.02.2019,2737.7000000,05.02.2019,1317.4000000,05.02.2019,62.1100000,05.02.2019,6214.8519700,05.02.2019,1.1412800,05.02.2019,65.6030000,05.02.2019,2.6950000
06.02.2019,5461.0000000,06.02.2019,2731.6100000,06.02.2019,1310.6000000,06.02.2019,62.5500000,06.02.2019,6228.0797500,06.02.2019,1.1368200,06.02.2019,65.8716000,06.02.2019,2.6710000
07.02.2019,5385.0000000,07.02.2019,2706.0500000,07.02.2019,1314.9000000,07.02.2019,61.6800000,07.02.2019,6238.0005850,07.02.2019,1.1342500,07.02.2019,65.8771000,07.02.2019,2.5790000
08.02.2019,5386.0000000,08.02.2019,2707.8800000,08.02.2019,1318.2000000,08.02.2019,61.9700000,08.02.2019,6202.7265050,08.02.2019,1.1322100,08.02.2019,65.7237000,08.02.2019,2.6180000
11.02.2019,5419.5000000,11.02.2019,2709.8000000,11.02.2019,1316.9000000,11.02.2019,61.5800000,11.02.2019,6148.7130700,11.02.2019,1.1276400,11.02.2019,65.7753000,11.02.2019,2.6550000
12.02.2019,5439.0000000,12.02.2019,2744.7300000,12.02.2019,1314.5000000,12.02.2019,62.6100000,12.02.2019,6117.8482500,12.02.2019,1.1331500,12.02.2019,65.8077000,12.02.2019,2.6030000
13.02.2019,5351.0000000,13.02.2019,2753.0300000,13.02.2019,1309.1000000,13.02.2019,63.6000000,13.02.2019,6125.5644550,13.02.2019,1.1266300,13.02.2019,66.4911000,13.02.2019,2.5890000
15.02.2019,5426.0000000,15.02.2019,2775.6000000,15.02.2019,1325.0000000,15.02.2019,66.3900000,15.02.2019,6206.0334500,15.02.2019,1.1291500,15.02.2019,66.2698000,15.02.2019,2.6320000
19.02.2019,5443.5000000,19.02.2019,2779.7600000,19.02.2019,1347.7000000,19.02.2019,66.4400000,19.02.2019,6327.2881000,19.02.2019,1.1299100,19.02.2019,65.7714000,19.02.2019,2.6560000
20.02.2019,5445.0000000,20.02.2019,2784.7000000,20.02.2019,1338.5000000,20.02.2019,67.1800000,20.02.2019,6428.7010800,20.02.2019,1.1342700,20.02.2019,65.6666000,20.02.2019,2.6540000
21.02.2019,5447.5000000,21.02.2019,2774.8800000,21.02.2019,1325.1000000,21.02.2019,66.9400000,21.02.2019,6401.1432050,21.02.2019,1.1338400,21.02.2019,65.5255000,21.02.2019,2.6980000
22.02.2019,5527.0000000,22.02.2019,2792.6700000,22.02.2019,1330.7000000,22.02.2019,66.9100000,22.02.2019,6502.5561850,22.02.2019,1.1332100,22.02.2019,65.3501000,22.02.2019,2.6980000
25.02.2019,5533.0000000,25.02.2019,2796.1100000,25.02.2019,1327.9000000,25.02.2019,64.9200000,25.02.2019,6493.7376650,25.02.2019,1.1361300,25.02.2019,65.5186000,25.02.2019,2.8480000
26.02.2019,5551.0000000,26.02.2019,2793.9000000,26.02.2019,1328.5000000,26.02.2019,65.7900000,26.02.2019,6486.0214600,26.02.2019,1.1391800,26.02.2019,65.6967000,26.02.2019,2.7860000
27.02.2019,5580.0000000,27.02.2019,2792.3800000,27.02.2019,1326.2000000,27.02.2019,66.4700000,27.02.2019,6540.0348950,27.02.2019,1.1371000,27.02.2019,65.7502000,27.02.2019,2.8000000
28.02.2019,5501.0000000,28.02.2019,2784.4900000,28.02.2019,1310.2000000,28.02.2019,66.2800000,28.02.2019,6499.2492400,28.02.2019,1.1373100,28.02.2019,65.9150000,28.02.2019,2.7980000
01.03.2019,5500.5000000,01.03.2019,2803.6900000,01.03.2019,1294.5000000,01.03.2019,65.0000000,01.03.2019,6450.7473800,01.03.2019,1.1364400,01.03.2019,65.9155000,01.03.2019,2.8460000
04.03.2019,5546.5000000,04.03.2019,2792.8100000,04.03.2019,1285.5000000,04.03.2019,65.5500000,04.03.2019,6419.8825600,04.03.2019,1.1342200,04.03.2019,65.7628000,04.03.2019,2.8570000
05.03.2019,5622.5000000,05.03.2019,2789.6500000,05.03.2019,1286.1000000,05.03.2019,65.5700000,05.03.2019,6471.6913650,05.03.2019,1.1307700,05.03.2019,65.7880000,05.03.2019,2.8830000
06.03.2019,5713.0000000,06.03.2019,2771.4500000,06.03.2019,1286.8000000,06.03.2019,65.9300000,06.03.2019,6445.2358050,06.03.2019,1.1311000,06.03.2019,65.9480000,06.03.2019,2.8330000
07.03.2019,5677.0000000,07.03.2019,2748.9300000,07.03.2019,1293.7000000,07.03.2019,66.0900000,07.03.2019,6426.4964500,07.03.2019,1.1181200,07.03.2019,66.2490000,07.03.2019,2.8680000
